task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	c6/081245	89290	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789397257451	1789397257529	1789397260787	3336	2735	59.5	60039168	1	1073741824	1800000	1	/scratch/tutorial-candidate-4/work/c6/081245c3283e66ee9212fa93e2980f
2	bf/e3c61e	85550	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	CACHED	0	1789397016477	1789397016538	1789397045056	28579	26897	66.4	64602112	1	2147483648	600000	1	/scratch/tutorial-candidate-4/work/bf/e3c61e3cf27ef99b9df6c447e9df39
3	a1/aeb90c	87180	AGGREGATE	AGGREGATE	-	CACHED	0	1789397046827	1789397047007	1789397123233	76406	71047	120.0	41377792	1	2147483648	900000	1	/scratch/tutorial-candidate-4/work/a1/aeb90cfac1fd8a7f2cf725d28cdc9e
4	1d/ad59f1	88027	REPORT	REPORT	-	CACHED	0	1789397123431	1789397123548	1789397139734	16303	13761	95.1	57511936	1	1073741824	300000	1	/scratch/tutorial-candidate-4/work/1d/ad59f124067900cb8b3f6cd58c59df
