task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	31/b7915c	531	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789573744864	1789573744923	1789573751478	6614	5790	47.4	60260352	1	1073741824	1800000	1	/scratch/report-acceptance-candidate-6/work/31/b7915c2ea8f6db325cf9e196d8973a
4	ae/7428d0	868	ANALYZE_BATCH (batch-000002)	ANALYZE_BATCH	batch-000002	COMPLETED	0	1789573752081	1789573752098	1789573754958	2877	2221	43.2	42729472	1	2147483648	600000	1	/scratch/report-acceptance-candidate-6/work/ae/7428d04d559f9d0669fe487c35ddce
2	7c/811d75	855	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789573752039	1789573752089	1789573755060	3021	2228	43.6	42991616	1	2147483648	600000	1	/scratch/report-acceptance-candidate-6/work/7c/811d75d37538c6baac8fa7cda811fc
3	a2/17a71c	1296	ANALYZE_BATCH (batch-000001)	ANALYZE_BATCH	batch-000001	COMPLETED	0	1789573754994	1789573755064	1789573758415	3421	2635	45.4	64577536	1	2147483648	600000	1	/scratch/report-acceptance-candidate-6/work/a2/17a71c340fa81c09db567878ff9bb1
5	a3/e2e664	1580	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789573758534	1789573758616	1789573760511	1977	1395	48.0	55529472	1	2147483648	900000	1	/scratch/report-acceptance-candidate-6/work/a3/e2e6648aa29739e53dd277bafa9cf9
6	d6/57d44e	1800	REPORT	REPORT	-	COMPLETED	0	1789573760550	1789573760612	1789573762749	2199	1702	46.7	42532864	1	1073741824	300000	1	/scratch/report-acceptance-candidate-6/work/d6/57d44e243e3c0bdd791e82e0dd4f0e
