task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	c3/7f2d03	8848	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789351556890	1789351556988	1789351561137	4247	3556	44.2	60145664	1	1073741824	1800000	1	/scratch/offline-candidate-3-internal/local-work/c3/7f2d03349c55ebcb6897c3d6f2b894
2	08/c75c12	9133	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789351562323	1789351562349	1789351566158	3835	3082	43.6	64450560	1	2147483648	600000	1	/scratch/offline-candidate-3-internal/local-work/08/c75c12b3a5397cdce44733aec3349d
3	66/1057ff	9441	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789351566402	1789351566463	1789351569852	3450	2722	56.1	29466624	1	2147483648	900000	1	/scratch/offline-candidate-3-internal/local-work/66/1057ff22459a40edc9c91066fe52a0
4	d0/507c13	9871	REPORT	REPORT	-	COMPLETED	0	1789351569952	1789351570052	1789351572698	2746	2173	53.6	35270656	1	1073741824	300000	1	/scratch/offline-candidate-3-internal/local-work/d0/507c13ce06c29c817259318186d169
