task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	11/e02c04	80011	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789396777648	1789396777706	1789396781204	3556	2784	43.3	60071936	1	1073741824	1800000	1	/scratch/tutorial-candidate-4/work/11/e02c0463c32b73eb2a13ef844e01d7
2	1f/31f9e2	80640	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789396782741	1789396782816	1789396786209	3468	2867	40.8	64643072	1	2147483648	600000	1	/scratch/tutorial-candidate-4/work/1f/31f9e2e740d530f9155f4d8ffb7e9f
3	3f/66f8af	81214	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789396786405	1789396786511	1789396788713	2308	1739	51.8	40894464	1	2147483648	900000	1	/scratch/tutorial-candidate-4/work/3f/66f8afe94f1f37f857bad372ac67bb
4	a6/f988fd	81656	REPORT	REPORT	-	COMPLETED	0	1789396788766	1789396788813	1789396794192	5426	4447	69.9	53153792	1	1073741824	300000	1	/scratch/tutorial-candidate-4/work/a6/f988fd168533d11e72951fd1355dae
