task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	82/f72dc3	84576	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789397008017	1789397008122	1789397015024	7007	5419	37.8	60166144	1	1073741824	1800000	1	/scratch/tutorial-candidate-4/work/82/f72dc33d98bc721148d44660e47b60
2	bf/e3c61e	85550	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789397016477	1789397016538	1789397045056	28579	26897	66.4	64602112	1	2147483648	600000	1	/scratch/tutorial-candidate-4/work/bf/e3c61e3cf27ef99b9df6c447e9df39
3	a1/aeb90c	87180	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789397046827	1789397047007	1789397123233	76406	71047	120.0	41377792	1	2147483648	900000	1	/scratch/tutorial-candidate-4/work/a1/aeb90cfac1fd8a7f2cf725d28cdc9e
4	1d/ad59f1	88027	REPORT	REPORT	-	COMPLETED	0	1789397123431	1789397123548	1789397139734	16303	13761	95.1	57511936	1	1073741824	300000	1	/scratch/tutorial-candidate-4/work/1d/ad59f124067900cb8b3f6cd58c59df
