task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	22/8f0379	109	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789413162423	1789413166487	1789413166492	4069	1467	44.7	60088320	1	1073741824	1800000	1	/scratch/offline-candidate-4/slurm-work/22/8f03791260bdcb87c2c865313c1d48
2	fe/3df626	110	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789413166830	1789413171485	1789413171487	4657	1379	35.0	64618496	1	2147483648	600000	1	/scratch/offline-candidate-4/slurm-work/fe/3df6264f81f3baea1247fb5748cec8
3	ee/584b74	111	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789413171597	1789413176485	1789413176487	4890	1129	49.9	12001280	1	2147483648	900000	1	/scratch/offline-candidate-4/slurm-work/ee/584b740db002c83cf4466cbe317940
4	00/81b797	112	REPORT	REPORT	-	COMPLETED	0	1789413176522	1789413181486	1789413181488	4966	680	44.8	12279808	1	1073741824	300000	1	/scratch/offline-candidate-4/slurm-work/00/81b797854f6c5d1cc624c2b1a2437a
