task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	4e/c9f493	224508	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789417493888	1789417493908	1789417496577	2689	2043	46.8	51503104	1	1073741824	1800000	1	/scratch/offline-candidate-5/local-work/4e/c9f49377d60dfb4f3b063646f0c76f
2	65/7571fa	224731	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789417497462	1789417497483	1789417507169	9707	8820	73.4	64704512	1	2147483648	600000	1	/scratch/offline-candidate-5/local-work/65/7571fa4a6dac7bd00853c44b21f75c
3	a9/d23126	225131	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789417507263	1789417507270	1789417509101	1838	1386	52.0	57634816	1	2147483648	900000	1	/scratch/offline-candidate-5/local-work/a9/d2312615f542c17ac1d17f2f7aaa8f
4	e9/da629b	225352	REPORT	REPORT	-	COMPLETED	0	1789417509152	1789417509201	1789417510748	1596	1179	51.6	10596352	1	1073741824	300000	1	/scratch/offline-candidate-5/local-work/e9/da629ba7c2171460e4cc725abd9c12
