task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	4f/6a724c	2181	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789574624623	1789574624686	1789574626952	2329	1765	40.1	52342784	1	1073741824	1800000	1	/scratch/report-acceptance-candidate-7/work/4f/6a724c8845a8f8d096dfc79f851823
3	a5/bc6b34	2417	ANALYZE_BATCH (batch-000001)	ANALYZE_BATCH	batch-000001	COMPLETED	0	1789574627248	1789574627258	1789574630783	3535	2619	43.4	40693760	1	2147483648	600000	1	/scratch/report-acceptance-candidate-7/work/a5/bc6b34bda55d691cb8a44930a4ddd0
4	5e/80d3d0	2403	ANALYZE_BATCH (batch-000002)	ANALYZE_BATCH	batch-000002	COMPLETED	0	1789574627215	1789574627254	1789574630745	3530	2662	43.7	41283584	1	2147483648	600000	1	/scratch/report-acceptance-candidate-7/work/5e/80d3d099da66c7bafeea8de5c76d50
2	ef/676fa1	2967	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789574631207	1789574631284	1789574633352	2145	1543	40.0	64245760	1	2147483648	600000	1	/scratch/report-acceptance-candidate-7/work/ef/676fa13538d72b3c76966c621fa2e2
5	fe/055a01	3190	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789574633396	1789574633452	1789574634905	1509	1126	43.0	10342400	1	2147483648	900000	1	/scratch/report-acceptance-candidate-7/work/fe/055a0186e61e9e3c978bfbe5a2cf16
6	3d/82b243	3391	REPORT	REPORT	-	COMPLETED	0	1789574634957	1789574635006	1789574636888	1931	1502	49.4	51216384	1	1073741824	300000	1	/scratch/report-acceptance-candidate-7/work/3d/82b243b323420be4ef9cf62e61d943
