task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	45/430d19	153566	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789413131526	1789413131549	1789413135929	4403	2928	58.4	35115008	1	1073741824	1800000	1	/scratch/offline-candidate-4/local-work/45/430d198cd969eff53cfd5e64ade268
2	b0/c29c63	153838	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789413136359	1789413136431	1789413140328	3969	3199	46.3	64630784	1	2147483648	600000	1	/scratch/offline-candidate-4/local-work/b0/c29c632d4ddac7c9163b61572b9207
3	24/9fc11f	154137	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789413140667	1789413140733	1789413143933	3266	2710	59.7	57708544	1	2147483648	900000	1	/scratch/offline-candidate-4/local-work/24/9fc11f00194cd72aef62c91ddc6664
4	0e/323fc0	154406	REPORT	REPORT	-	COMPLETED	0	1789413143983	1789413144034	1789413145868	1885	1415	50.3	57749504	1	1073741824	300000	1	/scratch/offline-candidate-4/local-work/0e/323fc0ff2f9e015393d3a01c6631c9
