task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	a1/8600dd	163	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789417532329	1789417536261	1789417536265	3936	1969	43.1	48046080	1	1073741824	1800000	1	/scratch/offline-candidate-5/slurm-work/a1/8600ddacfc1bb4ec20d2f46d5bd3f2
2	cd/b6bbf6	164	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789417536733	1789417541262	1789417541264	4531	1735	32.9	64610304	1	2147483648	600000	1	/scratch/offline-candidate-5/slurm-work/cd/b6bbf611b1564b3a72a087726afb4f
3	fc/bf28fb	165	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789417541354	1789417546261	1789417551262	9908	1156	48.1	11563008	1	2147483648	900000	1	/scratch/offline-candidate-5/slurm-work/fc/bf28fb83f6955edd7e74837d705728
4	16/f97326	166	REPORT	REPORT	-	COMPLETED	0	1789417551304	1789417556262	1789417556264	4960	3593	46.6	53665792	1	1073741824	300000	1	/scratch/offline-candidate-5/slurm-work/16/f97326bc7f315fdfe171b9c7b00237
