task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	fb/2f27e8	1	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789351594289	1789351597920	1789351597934	3645	1430	38.2	13115392	1	1073741824	1800000	1	/scratch/offline-candidate-3-internal/slurm-work/fb/2f27e8a081be991222c3024e028d9a
2	6a/e50f5a	2	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789351599406	1789351602919	1789351607920	8514	1732	30.0	64847872	1	2147483648	600000	1	/scratch/offline-candidate-3-internal/slurm-work/6a/e50f5ab5b6705325143039a402ba9a
3	72/33908b	3	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789351608061	1789351612917	1789351612918	4857	1057	45.8	11976704	1	2147483648	900000	1	/scratch/offline-candidate-3-internal/slurm-work/72/33908b80a7dbd515f736a70b3ba4e7
4	4b/67410a	4	REPORT	REPORT	-	COMPLETED	0	1789351612961	1789351617918	1789351617921	4960	936	36.5	8753152	1	1073741824	300000	1	/scratch/offline-candidate-3-internal/slurm-work/4b/67410af7d18d5d708a9076e024d374
