task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	fa/69243c	13232	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1789694068011	1789694068064	1789694072031	4020	2880	45.6	60100608	1	1073741824	1800000	1	/scratch/report-acceptance-candidate-9/work/fa/69243c6af7ec1de7fcaad7d4f5d155
4	c1/610b0d	13505	ANALYZE_BATCH (batch-000002)	ANALYZE_BATCH	batch-000002	COMPLETED	0	1789694072411	1789694072434	1789694076899	4488	3780	64.0	59334656	1	2147483648	600000	1	/scratch/report-acceptance-candidate-9/work/c1/610b0d59cb51ff06999c1c7dddac37
2	5b/4335c9	13517	ANALYZE_BATCH (batch-000000)	ANALYZE_BATCH	batch-000000	COMPLETED	0	1789694072441	1789694072534	1789694077238	4797	4071	62.1	52469760	1	2147483648	600000	1	/scratch/report-acceptance-candidate-9/work/5b/4335c9b234f9f7140de88d6a7c9c6a
3	ab/3c49c0	14090	ANALYZE_BATCH (batch-000001)	ANALYZE_BATCH	batch-000001	COMPLETED	0	1789694077391	1789694077440	1789694080740	3349	2636	48.8	64671744	1	2147483648	600000	1	/scratch/report-acceptance-candidate-9/work/ab/3c49c01f8de1e31c8d0eca56a5d8f4
5	74/28daae	14370	AGGREGATE	AGGREGATE	-	COMPLETED	0	1789694080804	1789694080840	1789694083030	2226	1705	51.4	45342720	1	2147483648	900000	1	/scratch/report-acceptance-candidate-9/work/74/28daae15409951c4d9cb5c1a482c78
6	f0/f0c606	14596	REPORT	REPORT	-	COMPLETED	0	1789694083107	1789694083131	1789694085484	2377	1794	51.5	42721280	1	1073741824	300000	1	/scratch/report-acceptance-candidate-9/work/f0/f0c606951d6790ae525409dddc3c26
