sample_id,path,sha256,size_bytes
sub-01,sub-01/anat/sub-01_T1w.nii.gz,bdb7022ae229c5b8edd16425928c9243c562f84082b9b8e6f97cdba8b9354a98,5663237
sub-02,sub-02/anat/sub-02_T1w.nii.gz,02ed06fb4e3421c620998af9232739be1c3c0526dd7bcf6652bf8522f5bf2944,5736750
sub-03,sub-03/anat/sub-03_T1w.nii.gz,42afa195c735d395e446a37d7127ce5a89bb3e3167d1dd9f84b56a7d108ba87f,5276910
sub-04,sub-04/anat/sub-04_T1w.nii.gz,86d21bf297fef724422bff809cffe5d940addf974d34cf554458746fca21fbbe,1159984
sub-05,sub-05/anat/sub-05_T1w.nii.gz,d7a2e4c46662af85496ad59e87952d94b4c773d9d26879866344c1733d9db601,5540256
