task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	49/f7ef36	51	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1790037489554	1790037493318	1790037493321	3767	2336	50.6	66600960	1	1073741824	1800000	1	/scratch/mri-acceptance-candidate-3/slurm/work/49/f7ef366dc5a5fcc0fbeb5bbcc26b9d
5	9b/1b4c18	52_0	MRI_BATCH (batch-000003)	MRI_BATCH	batch-000003	COMPLETED	0	1790037493825	1790037498318	1790037508319	14494	12025	41.5	188112896	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/slurm/work/9b/1b4c18438b688c2076429015ffd147
4	2f/37ebfb	52_1	MRI_BATCH (batch-000002)	MRI_BATCH	batch-000002	COMPLETED	0	1790037493825	1790037498355	1790037513319	19494	14415	40.0	188071936	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/slurm/work/2f/37ebfb547970eb882d3aea31cd892b
6	02/f32e73	52_3	MRI_BATCH (batch-000004)	MRI_BATCH	batch-000004	COMPLETED	0	1790037493826	1790037513326	1790037523319	29493	7396	41.3	129245184	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/slurm/work/02/f32e732e878332d7e08859fd5e98d1
2	e5/004643	52_2	MRI_BATCH (batch-000000)	MRI_BATCH	batch-000000	COMPLETED	0	1790037493826	1790037513321	1790037523318	29492	8591	45.8	128528384	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/slurm/work/e5/004643fd4dab6c0fb71d810b2b4df6
3	3e/bc9c28	53	MRI_BATCH (batch-000001)	MRI_BATCH	batch-000001	COMPLETED	0	1790037493860	1790037523320	1790037523322	29462	3482	64.7	130899968	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/slurm/work/3e/bc9c28586845f96fd9e630524ceeb4
7	c1/5573d0	57	AGGREGATE	AGGREGATE	-	COMPLETED	0	1790037523368	1790037528318	1790037528319	4951	651	42.2	12111872	1	2147483648	900000	1	/scratch/mri-acceptance-candidate-3/slurm/work/c1/5573d04a6dc1e092782df2253394ba
8	21/cc6803	58	REPORT	REPORT	-	COMPLETED	0	1790037528354	1790037533318	1790037533320	4966	624	40.9	11968512	1	1073741824	300000	1	/scratch/mri-acceptance-candidate-3/slurm/work/21/cc6803dbaf02da30eb9f24ade7215e
