task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	94/1900d7	9938	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1790037441973	1790037442052	1790037443925	1952	1578	55.1	66859008	1	1073741824	1800000	1	/scratch/mri-acceptance-candidate-3/local-b/work/94/1900d7b341653d3e61557e03e45cc2
5	19/94b81e	10161	MRI_BATCH (batch-000003)	MRI_BATCH	batch-000003	COMPLETED	0	1790037444127	1790037444225	1790037448367	4240	3765	75.9	119267328	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/local-b/work/19/94b81ea9cf99f9f913b106baab179a
4	8a/023f42	10215	MRI_BATCH (batch-000002)	MRI_BATCH	batch-000002	COMPLETED	0	1790037444272	1790037444326	1790037448742	4470	4060	74.5	125767680	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/local-b/work/8a/023f42b50d7c1737e6725fb2b10c79
6	03/bc9053	11045	MRI_BATCH (batch-000004)	MRI_BATCH	batch-000004	COMPLETED	0	1790037449112	1790037449144	1790037452905	3793	3412	73.9	128802816	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/local-b/work/03/bc905342c3b58f82fab660573e0a65
3	56/a0a855	11190	MRI_BATCH (batch-000001)	MRI_BATCH	batch-000001	COMPLETED	0	1790037450113	1790037450146	1790037454283	4170	3881	74.3	130269184	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/local-b/work/56/a0a8557607676528b50ec1141cc65c
2	c8/90e2c4	11776	MRI_BATCH (batch-000000)	MRI_BATCH	batch-000000	COMPLETED	0	1790037453113	1790037453206	1790037456755	3642	3325	69.1	127328256	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/local-b/work/c8/90e2c4626f0d36ec738b4b65f7691e
7	35/bac0ec	12203	AGGREGATE	AGGREGATE	-	COMPLETED	0	1790037456777	1790037456855	1790037457768	991	763	44.9	9711616	1	2147483648	900000	1	/scratch/mri-acceptance-candidate-3/local-b/work/35/bac0ec8930f1b56f1ff3314408928b
8	c8/e84cf0	12375	REPORT	REPORT	-	COMPLETED	0	1790037457793	1790037457868	1790037459064	1271	979	46.9	9867264	1	1073741824	300000	1	/scratch/mri-acceptance-candidate-3/local-b/work/c8/e84cf0598f460f40d78ae3dc810118
