task_id	hash	native_id	name	process	tag	status	exit	submit	start	complete	duration	realtime	%cpu	peak_rss	cpus	memory	time	attempt	workdir
1	78/3548a6	5448	VALIDATE_DATASET	VALIDATE_DATASET	-	COMPLETED	0	1790037367748	1790037367846	1790037371999	4251	3451	51.2	66658304	1	1073741824	1800000	1	/scratch/mri-acceptance-candidate-3/local-a/work/78/3548a683334b911063747e8d6e614a
5	57/08bf06	5721	MRI_BATCH (batch-000003)	MRI_BATCH	batch-000003	COMPLETED	0	1790037372360	1790037372401	1790037383716	11356	10420	76.6	117948416	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/local-a/work/57/08bf06191505d936e7ad22eabc1626
4	8a/80d284	5777	MRI_BATCH (batch-000002)	MRI_BATCH	batch-000002	COMPLETED	0	1790037372730	1790037372805	1790037384195	11465	10734	75.3	154017792	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/local-a/work/8a/80d2840eef52e4b9de5bd2b4031ca1
3	6d/ce713f	7174	MRI_BATCH (batch-000001)	MRI_BATCH	batch-000001	COMPLETED	0	1790037384336	1790037384396	1790037394375	10039	9533	80.5	130048000	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/local-a/work/6d/ce713f683b92d6df1f65594c2cd4f6
2	16/97c9c8	7317	MRI_BATCH (batch-000000)	MRI_BATCH	batch-000000	COMPLETED	0	1790037385332	1790037385400	1790037396301	10969	10452	79.2	186019840	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/local-a/work/16/97c9c89a6b76bedcff1579f20534a4
6	ea/c0353c	8589	MRI_BATCH (batch-000004)	MRI_BATCH	batch-000004	COMPLETED	0	1790037395340	1790037395377	1790037401426	6086	5303	70.4	127905792	1	2147483648	600000	1	/scratch/mri-acceptance-candidate-3/local-a/work/ea/c0353cdefba373e7dfa953f6cb70df
7	e2/4f6482	9198	AGGREGATE	AGGREGATE	-	COMPLETED	0	1790037401463	1790037401526	1790037403860	2397	1914	51.9	40448000	1	2147483648	900000	1	/scratch/mri-acceptance-candidate-3/local-a/work/e2/4f6482662e45f036e3ad29120e505b
8	e7/990e55	9427	REPORT	REPORT	-	COMPLETED	0	1790037403926	1790037403961	1790037406246	2320	1687	47.5	43843584	1	1073741824	300000	1	/scratch/mri-acceptance-candidate-3/local-a/work/e7/990e55343f6a2158e78a45eeb725dc
